timestamp,m1_pos,m1_vel,m1_torque,m2_pos,m2_vel,m2_torque,ch6_max,ch7_max,ch6_new,ch7_new,m1_label,m2_label
33752,-6.949502,-8.025781,0.0,19.951706,-10.480148,-0.003906,3.263733,2.870268,1.0,1.0,2,1
33772,-7.01834,-7.191296,0.003906,19.854872,-11.461895,0.003906,3.263733,2.870268,1.0,1.0,2,1
33773,-7.080275,-7.780344,0.003906,19.755739,-11.682788,0.0,3.263733,2.870268,1.0,1.0,2,1
33774,-7.150454,-9.081159,0.0,19.652578,-11.805507,-0.003906,3.263733,2.870268,1.0,1.0,2,1
33787,-7.221784,-6.896772,-0.003906,19.55172,-11.142827,0.003906,3.263733,2.870268,1.0,1.0,2,1
33804,-7.283335,-6.945859,0.0,19.450668,-11.461895,0.0,3.263733,2.870268,1.0,1.0,2,1
33806,-7.343927,-6.823141,0.007812,19.351919,-11.167371,-0.003906,3.263733,2.870268,1.0,1.0,2,1
33816,-7.403752,-6.651335,-0.003906,19.262756,-9.547489,-0.003906,3.263733,2.870268,1.0,1.0,2,1
33834,-7.465495,-7.21584,-0.003906,19.181839,-8.295761,0.0,3.263733,2.870268,1.0,1.0,2,1
33836,-7.531456,-7.044034,-0.007812,19.099579,-8.197587,-0.011719,3.263733,2.870268,1.0,1.0,2,1
33837,-7.584954,-5.350521,-0.007812,19.022497,-7.903063,0.0,3.263733,2.870268,1.0,1.0,2,1
33846,-7.629247,-5.301434,0.0,18.956345,-7.044034,0.003906,3.263733,2.870268,1.0,1.0,2,1
33878,-7.677376,-6.135918,0.0,18.893642,-6.504073,0.0,3.263733,2.870268,1.0,1.0,2,1
33881,-7.727614,-5.105084,-0.003906,18.831326,-6.994947,0.0,3.263733,2.870268,1.0,1.0,2,1
33882,-7.769223,-4.761473,-0.003906,18.767857,-6.062287,-0.007812,3.263733,2.870268,1.0,1.0,2,1
33918,-7.812366,-5.178715,-0.003906,18.712057,-5.792307,0.003906,3.263733,2.870268,1.0,1.0,2,1
33920,-7.856276,-5.055996,0.0,18.65741,-6.454986,0.003906,3.263733,2.870268,1.0,1.0,2,1
33921,-7.894817,-3.951531,-0.003906,18.5949,-7.48582,0.003906,3.263733,2.870268,1.0,1.0,2,1
33922,-7.926648,-3.8779,0.007812,18.527788,-7.534907,0.0,3.263733,2.870268,1.0,1.0,2,1
33929,-7.964805,-4.933278,0.007812,18.462019,-7.01949,0.0,3.263733,2.870268,1.0,1.0,2,1
33931,-8.011209,-6.798597,0.003906,18.409098,-6.209549,0.003906,3.263733,2.870268,1.0,1.0,2,1
33939,-8.069691,-6.430442,-0.007812,18.353298,-6.774054,0.003906,3.263733,2.870268,1.0,1.0,2,1
33959,-8.120313,-4.859647,0.0,18.283503,-7.633082,0.0,3.263733,2.870268,1.0,1.0,2,1
33961,-8.156361,-4.687841,-0.007812,18.225595,-6.798597,0.0,3.263733,2.870268,1.0,1.0,2,1
33963,-8.197395,-4.712385,0.003906,18.16922,-5.694132,0.0,3.263733,2.870268,1.0,1.0,2,1
33973,-8.236128,-4.049706,0.0,18.120518,-5.767763,0.0,3.263733,2.870268,1.0,1.0,2,1
33990,-8.266041,-2.748891,0.003906,18.077183,-4.638754,0.0,3.263733,2.870268,1.0,1.0,2,1
33992,-8.296721,-4.172424,0.007812,18.036915,-4.442405,0.0,3.263733,2.870268,1.0,1.0,2,1
34002,-8.328167,-4.172424,0.0,17.999525,-4.786016,0.0,3.263733,2.870268,1.0,1.0,2,1
34022,-8.363065,-3.583376,0.0,17.95293,-5.448695,-0.003906,3.263733,2.870268,1.0,1.0,2,1
34023,-8.395854,-3.288852,-0.007812,17.907486,-4.786016,-0.007812,3.263733,2.870268,1.0,1.0,2,1
34025,-8.415604,-1.276271,0.0,17.873354,-3.33794,0.0,3.263733,2.870268,1.0,1.0,0,1
34036,-8.422315,-0.589048,0.0,17.852453,-2.037125,0.0,3.263733,2.870268,1.0,1.0,2,1
34055,-8.420781,0.0,0.003906,17.836922,-1.104465,0.0,3.263733,2.870268,1.0,1.0,2,1
34056,-8.420973,0.0,0.0,17.821007,-1.816232,0.0,3.263733,2.870268,1.0,1.0,2,0
34066,-8.420973,-0.073631,0.0,17.807394,-1.840775,0.003906,3.263733,2.870268,1.0,1.0,2,0
34083,-8.420973,-0.147262,0.0,17.788986,-1.767144,0.0,3.263733,2.870268,1.0,1.0,2,0
34085,-8.420973,-0.245437,0.0,17.769619,-1.865319,-0.003906,3.263733,2.870268,1.0,1.0,2,0
34087,-8.420781,0.073631,0.0,17.75543,-1.153553,0.0,3.263733,2.870268,1.0,1.0,2,0
34098,-8.420781,0.0,0.0,17.743732,-0.785398,-0.003906,3.263733,2.870268,1.0,1.0,2,0
34139,-8.420973,-0.245437,0.0,17.740856,0.319068,0.0,3.263733,2.870268,1.0,1.0,2,0
34140,-8.420973,-0.368155,-0.003906,17.74124,0.049087,0.0,3.263733,2.908043,1.0,1.0,2,0
34142,-8.420973,-0.073631,0.0,17.741432,0.319068,0.003906,3.263733,2.908043,1.0,1.0,2,0
34143,-8.425383,-1.055378,0.003906,17.74124,0.0,0.003906,3.263733,2.908043,1.0,1.0,2,0
34144,-8.435162,-1.079922,0.0,17.74124,0.0,-0.003906,3.263733,2.908043,1.0,1.0,2,0
34160,-8.452994,-2.969784,0.007812,17.74124,0.368155,-0.003906,3.263733,2.908043,1.0,1.0,2,0
34163,-8.484249,-4.221512,0.007812,17.740856,0.098175,0.0,3.263733,2.908043,1.0,1.0,2,0
34184,-8.525283,-5.964112,0.007812,17.740282,-0.245437,0.0,3.263733,2.908043,1.0,1.0,2,0
34187,-8.583191,-6.602248,0.003906,17.739323,0.049087,-0.003906,3.263733,2.908043,1.0,1.0,2,0
34191,-8.639948,-6.602248,0.0,17.73798,0.0,0.003906,3.263733,2.908043,1.0,1.0,2,0
34222,-8.700732,-7.314014,0.0,17.737789,0.196349,0.0,3.263733,2.908043,1.0,1.0,2,0
34223,-8.764392,-7.142209,0.0,17.73798,0.368155,0.003906,3.263733,2.91111,1.0,1.0,2,0
34225,-8.812521,-5.988656,0.003906,17.737597,-0.294524,0.0,3.263733,2.91111,1.0,1.0,2,0
34228,-8.871579,-7.191296,0.007812,17.73798,0.26998,0.0,3.263733,2.911303,1.0,1.0,2,0
34242,-8.940608,-7.706713,0.0,17.737789,-0.073631,-0.003906,3.263733,2.911303,1.0,1.0,2,0
